No.,Title,Abstract,DOI,Year,Journal,Cited by,Author Keywords,Index Keywords,Authors,,,,,,
93,Stable isotope analyses on archived fish scales reveal the long-term effect of nitrogen loads on carbon cycling in rivers,"Stable isotope analysis of organic matter in sediment records has long been used to track historical changes in productivity and carbon cycling in marine and lacustrine ecosystems. While flow dynamics preclude stratigraphic measurements of riverine sediments, such retrospective analysis is important for understanding biogeochemical cycling in running waters. Unique collections of riverine fish scales were used to analyse Î15N and Î13C variations in the food web of two European rivers that experience different degrees of anthropogenic pressure. Over the past four decades, dissolved inorganic N loading remained low and constant in the Teno River (70¯N, Finland); in contrast, N loading increased fourfold in the Scorff River (47¯N, France) over the same period. Archived scales of Atlantic salmon parr, a riverine life-stage that feeds on aquatic invertebrates, revealed high Î15N values in the Scorff River reflecting anthropogenic N inputs to that riverine environment. A strong correlation between dissolved inorganic N loads and Î13C values in fish scales was observed in the Scorff River, whereas no trend was found in the Teno River. This result suggests that anthropogenic N-nutrients enhanced atmospheric C uptake by primary producers and its transfer to fish. Our results illustrate for the first time that, as for lakes and marine ecosystems, historical changes in anthropogenic N loading can affect C cycling in riverine food webs, and confirm the long-term interactions between N and C biogeochemical cycles in running waters. ? 2013 John Wiley & Sons Ltd.",https://doi.org/10.1111/gcb.12293,2014,Global Change Biology,26,Atlantic salmon; Atmospheric CO2 diffusion; Dissolved inorganic N; Eutrophication; River food web; Salmo salar,biogeochemical cycle; carbon cycle; carbon dioxide; carbon isotope; eutrophication; fish; food web; isotopic analysis; nitrogen; river water; salmonid; stable isotope; water chemistry; Bretagne; France; Scorff River; Teno River; Invertebrata; Salmo salar; carbon; animal; article; Atlantic salmon; atmospheric CO2 diffusion; chemistry; dissolved inorganic N; Finland; metabolism; river; river food web; Animals; Carbon Cycle; Carbon Isotopes; Nitrogen; Nitrogen Isotopes; Rivers,"Roussel, J.-M.; Perrier, C.; Erkinaro, J.; NiemelÑ, E.; Cunjak, R.A.; Huteau, D.; Riera, P.",,,,,,
94,"Multi-decade Responses of a Tidal Creek System to Nutrient Load Reductions: Mattawoman Creek, Maryland USA","We developed a synthesis using diverse monitoring and modeling data for Mattawoman Creek, Maryland, USA to examine responses of this tidal freshwater tributary of the Potomac River estuary to a sharp reduction in point-source nutrient loading rate. Oligotrophication of these systems is not well understood; questions concerning recovery pathways, threshold responses, and lag times remain to be clarified and eventually generalized for application to other systems. Prior to load reductions Mattawoman Creek was eutrophic with poor water clarity (Secchi depth <0.5 m), no submerged aquatic vegetation (SAV), and large algal stocks (50-100 ?g L-1 chlorophyll-a). A substantial modification to a wastewater treatment plant reduced annual average nitrogen (N) loads from 30 to 12 g N m-2 year-1 and phosphorus (P) loads from 3.7 to 1.6 g P m-2 year-1. Load reductions for both N and P were initiated in 1991 and completed by 1995. There was no trend in diffuse N and P loads between 1985 and 2010. Following nutrient load reduction, NO2 + NO3 and chlorophyll-a decreased and Secchi depth and SAV coverage and density increased with initial response lag times of one, four, three, one, and one year, respectively. A preliminary N budget was developed and indicated the following: diffuse sources currently dominate N inputs, estimates of long-term burial and denitrification were not large enough to balance the budget, sediment recycling of NH4 was the single largest term in the budget, SAV uptake of N from sediments and water provided a modest seasonal-scale N sink, and the creek system acted as an N sink for imported Potomac River nitrogen. Finally, using a comparative approach utilizing data from other shallow, low-salinity Chesapeake Bay ecosystems, strong relationships were found between N loading and algal biomass and between algal biomass and water clarity, two key water quality variables used as indices of restoration in Chesapeake Bay. ? 2013 Coastal and Estuarine Research Federation.",https://doi.org/10.1007/s12237-013-9690-4,2014,Estuaries and Coasts,35,Estuarine; Eutrophication; Freshwater macrophytes; Metabolism; Nutrient budget; Restoration,chlorophyll a; data set; denitrification; environmental monitoring; intertidal environment; macrophyte; metabolism; nitrogen compound; numerical model; nutrient enrichment; nutrient use; phosphorus; point source pollution; vegetation type; biomass; environmental restoration; estuarine environment; estuarine pollution; eutrophication; pollution control; pollution monitoring; Chesapeake Bay; Maryland; Potomac River; United States; Mattawoman Creek; Potomac Estuary; algae,"Boynton, W.R.; Hodgkins, C.L.S.; O'Leary, C.A.; Bailey, E.M.; Bayard, A.R.; Wainger, L.A.",,,,,,
95,"Factors controlling phosphorus export from agricultural/forest and residential systems to rivers in eastern China, 1980-2011","This study quantified long-term response of riverine total phosphorus (TP) export to changes in land-use, climate, and net anthropogenic phosphorus inputs to agricultural/forest (NAPIAF) and residential (NAPIR) systems for the upper Jiaojiang watershed in eastern China. Annual NAPIAF rose by 73% in 1980-1999 followed by a 41% decline in 2000-2011, while NAPIR continuously increased by 122% over the 1980-2011 period. Land-use showed a 63% increase in developed land area (D%) and a 91% increase in use of efficient drainage systems on agricultural land area (AD%) over the study period. Although no significant trends were observed in annual river discharge or precipitation, the annual number of storm events rose by 90% along with a 34% increase in the coefficient of variation of daily rainfall. In response to changes of NAPIAF, NAPIR, land-use and precipitation patterns, riverine TP flux increased 16.0-fold over the 32-year record. Phosphorus export via erosion and leaching was the dominant pathway for P delivery to rivers. An empirical model incorporating annual NAPIAF, NAPIR, precipitation, D%, and AD% was developed (R2=0.96) for apportioning riverine TP sources and predicting annual riverine TP fluxes. The model estimated that NAPIAF, NAPIR and legacy P sources contributed 19-56%, 16-67% and 13-32% of annual riverine TP flux in 1980-2011, respectively. Compared to reduction of NAPIAF, reduction of NAPIR was predicted to have a greater immediate impact on decreasing riverine TP fluxes. Changes in anthropogenic P input sources (NAPIAF vs. NAPIR), land-use, and precipitation patterns as well as the legacy P source can amplify P export from landscapes to rivers and should be considered in developing P management strategies to reduce riverine P fluxes. ? 2015 Elsevier B.V.",https://doi.org/10.1016/j.jhydrol.2015.11.043,2016,Journal of Hydrology,47,Climate change; Eutrophication; Land use; Nutrient budget; Phosphorus; Urban runoff,Agriculture; Budget control; Climate change; Eutrophication; Housing; Land use; Phosphorus; Precipitation (meteorology); Rivers; Sewage; Agricultural land; Coefficient of variation; Dominant pathways; Management strategies; Nutrient budgets; Precipitation patterns; Residential systems; Urban runoff; River pollution; climate change; drainage; eutrophication; land use change; nutrient budget; phosphorus; runoff; China; Jiaojiang Basin; Zhejiang,"Chen, D.; Hu, M.; Wang, J.; Guo, Y.; Dahlgren, R.A.",,,,,,
96,Nutrient enrichment and N: P ratio decline in a coastal bay-river system in southeast China: The need for a dual nutrient (N and P) management strategy,"Eutrophication and harmful algal blooms (HAB) have become the primary water quality concerns in China. A comprehensive analysis was conducted using a dataset obtained from long-term monitoring of a coastal bay-river system in southeast China (Xiamen Bay-Jiulong River Basin), to examine the nutrient [nitrogen (N) and phosphorus (P)] dynamics and the management options. The analysis showed that increasing human stresses and external nutrient loads over the past 30 years were the main causes of water degradation and eutrophication. A significant decline of N:P ratio was observed in both river and estuarine waters since the 1990s due to relatively high P loadings as a consequence of waste discharges from the proliferating husbandry of livestocks and the application of excessive phosphate fertilizers to cash crops. Continued nutrient enrichment and the decline of N:P ratio have changed the nutrient stoichiometry and supply ratio in waters, which have increased the risk of nutrient-enhanced algal bloom. According to the findings and current knowledge concerning eutrophication and HAB processes, a dual nutrient (N and P) management strategy is necessary for management of water quality in the Xiamen Bay-Jiulong River Basin with a focus on animal wastes in the north Jiulong tributary and over-fertilization in the west Jiulong tributary. ? 2012 Elsevier Ltd.",https://doi.org/10.1016/j.ocecoaman.2012.07.013,2013,Ocean and Coastal Management,95,,Comprehensive analysis; Harmful algal blooms; Long term monitoring; Management of water qualities; Management options; Management strategies; Nutrient enrichments; Water degradation; Agricultural wastes; Agriculture; Eutrophication; Nutrients; Phosphate fertilizers; Rivers; Water management; Water quality; Watersheds; River pollution; algal bloom; animal husbandry; anthropogenic effect; cash cropping; eutrophication; fertilizer; livestock farming; management practice; nitrogen; phosphorus; river system; stoichiometry; tributary; water pollution; water quality; China; Fujian; Jiulong Basin; Xiamen Bay; algae; Animalia,"Chen, N.; Peng, B.; Hong, H.; Turyaheebwa, N.; Cui, S.; Mo, X.",,,,,,
97,Three Decadal Inputs of Nitrogen and Phosphorus from Four Major Coastal Rivers to the Summer Hypoxic Zone of the Northern Gulf of Mexico,"Nutrient enrichment is considered one of the most important causes for summer hypoxic conditions in the northern Gulf of Mexico (NGOM) off the Louisiana coast. While many studies on nutrient inputs from the large Mississippi-Atchafalaya River System have been conducted, little is known about nutrient inputs from other coastal rivers in Louisiana. In this study, we utilized long-term (1980-2009) records on river discharge and nutrient concentrations of four major Louisiana coastal rivers - the Sabine, Calcasieu, Mermentau, and Vermilion - to estimate daily, monthly, and annual inflows of nitrate and nitrite nitrogen (NO3 + NO2), total Kjeldahl nitrogen (TKN), and total phosphorus (TP) into the NGOM. The three-decade-long nutrient inflows from these rivers were analyzed for their seasonal fluctuations, interannual variabilities, and decadal trends. Fluxes of NO3 + NO2, TKN, and TP for these river basins were estimated to assess land use effects on riverine nutrients. Our study found that the four coastal rivers discharged each year a considerably large amount of NO3 + NO2 (total of 1755 t), TKN (12,208 t), and TP (1833 t) into the NGOM, with a peak input of nitrogen during the spring. The Mermentau and Vermilion Rivers, which drain intensive agriculture areas, had significantly higher NO3 + NO2, TKN, and TP concentrations when compared with the Sabine and Calcasieu Rivers, which drain forest-pasture-dominated lands. The fluxes of NO3 + NO2, TKN, and TP from the Mermentau River Basin (156 kg km-2 year-1 NO3 + NO2, 942 kg km-2 year-1 TKN, and 206 kg km-2 year-1 TP) and the Vermilion River Basin (374, 1078, and 360) were much higher than those combined from the Sabine and Calcasieu River Basins (66, 710, and 62). These findings fill a major knowledge gap concerning the quantity and characteristics of nitrogen and phosphorus transport from coastal watersheds to North America's largest hypoxic zone. ? 2015 Springer International Publishing Switzerland.",https://doi.org/10.1007/s11270-015-2580-6,2015,"Water, Air, and Soil Pollution",10,Coastal water quality; Eutrophication; Gulf of Mexico; Hypoxic zone; Riverine nitrogen and phosphorus; Southwest Louisiana,Agriculture; Eutrophication; Land use; Nitrogen; Nitrogen oxides; Nutrients; Phosphorus; Rivers; Water quality; Watersheds; Coastal water quality; Gulf of Mexico; Interannual variability; Louisiana; Mississippi-atchafalaya rivers; Nutrient concentrations; Riverine nitrogens; Total Kjeldahl nitrogens; River pollution; nitrate; nitrite; nitrogen; phosphorus; river water; coastal water; concentration (composition); decadal variation; estuarine pollution; eutrophication; hypoxia; pollutant source; pollutant transport; river discharge; Article; coastal rivers; coastal waters; controlled study; environmental parameters; nitrogen cycling; nitrogen metabolism; nutrient concentration; phosphate metabolism; phosphorus cycle; river basin; spring; summer; summer hypoxic zone; water analysis; water flow; water quality; water transport; watershed; Atchafalaya Basin; Atlantic Ocean; Mississippi Basin; United States,"He, S.; Xu, Y.J.",,,,,,
98,Modeling increased riverine nitrogen export: Source tracking and integrated watershed-coast management,"The global NEWS model was calibrated and then used to quantify the long term trend of dissolved inorganic nitrogen (DIN) export from two tributaries of Jiulong River (SE China). Anthropogenic N inputs contributed 61-92% of river DIN yield which increased from 337 in 1980s to 1662kgNkm-2yr-1 in 2000s for the North River, and from 653 to 3097kgNkm-2yr-1 for the West River. North River and West River contributed 55% and 45% respectively of DIN loading to the estuary. Rapid development and poor management driven by national policies were responsible for increasing riverine N export. Scenario analysis and source tracking suggest that reductions of anthropogenic N inputs of at least 30% in the North River (emphasis on fertilizer and manure) and 50% in the West River (emphasis on fertilizer) could significantly improve water quality and mitigate eutrophication in both river and coastal waters. ? 2015 Elsevier Ltd.",https://doi.org/10.1016/j.marpolbul.2015.10.035,2015,Marine Pollution Bulletin,29,Coastal management; Dissolved inorganic nitrogen; Eutrophication; Jiulong River,"Eutrophication; Fertilizers; Nitrogen; Rivers; Water quality; Coastal management; Dissolved inorganic nitrogens; Jiulong River; Long-term trend; National policies; Riverine nitrogens; Scenario analysis; Source tracking; River pollution; nitrogen; fertilizer; sewage; anthropogenic source; coastal zone management; dissolved inorganic nitrogen; eutrophication; modeling; pollutant transport; tributary; watershed; Article; China; coastal waters; environmental management; estuary; fertilizer application; human activities; manure; nitrogen balance; nitrogen deposition; policy; quantitative analysis; river; water quality; watershed management; analysis; environmental monitoring; environmental protection; prevention and control; procedures; theoretical model; water pollution; Fujian; Conservation of Natural Resources; Environmental Monitoring; Estuaries; Models, Theoretical; Sewage; Water Pollution; Water Quality","Yu, D.; Yan, W.; Chen, N.; Peng, B.; Hong, H.; Zhuo, G.",,,,,,
99,"Spatio-temporal variabilities of nutrients and chlorophyll, and the trophic state index deviations on the relation of nutrients-chlorophyll?light availability","The object of this study was to determine long-term temporal and spatial patterns of nutrients (nitrogen and phospho?rus), suspended solids, and chlorophyll (Chl) in Chungju Reservoir, based on the dataset of 1992 ? 2013, and then to develop the empirical models of nutrient-Chl for predicting the eutrophication of the reservoir. Concentrations of total nitrogen (TN) and total phosphorus (TP) were largely affected by an intensity of Asian monsoon and the longitudinal structure of riverine (Rz), transition (Tz), and lacustrine zone (Lz). This system was nitrogen-rich system and phosphorus contents in the water were relatively low, implying a P-limiting system. Regression analysis for empirical model, however, showed that Chl had a weak linear relation with TP or TN, and this was mainly associated with turbid, and nutrient-rich inflows in the system. The weak relation was associated with non-algal light attenuation coefficients (Kna), which is in?versely related water residence time. Thus, values of Chl had negative functional relation (R2 = 0.25, p < 0.001) with non-algal light attenuation. Thus, the low chlorophyll at a given TP indicated a light-limiting for phytoplankton growth and total suspended solids (TSS) was highly correlated (R2 = 0.94, p < 0.001) with non-algal light attenuation. The relations of Trophic State Index (TSI) indicated that phosphorus limitation was weak [TSI (Chl) ? TSI (TP) < 0; TSI (SD) ? TSI (Chl) > 0] and the effects of zooplankton grazing were also minor [TSI (Chl) ? TSI (TP) > 0; TSI (SD) ? TSI (Chl) > 0]. ? 2016 The Ecological Society of Korea. All rights are reserved.",http://dx.doi.org/10.5141/ecoenv.2016.004,2016,Journal of Ecology and Environment,8,Eutrophication; Light limitation; Nutrient dynamics; Suspended solid,,"Calderon, M.S.; An, K.-G.",,,,,,
101,Evaluation of long-term trends in hydrographic and nutrient parameters in a southeast US coastal river,"The Nassau River estuary is located in northeast Florida adjacent to the eutrophic St. Johns River. Historically, development has been sparse in the Nassau River's catchment; thus, the system may provide a relatively undisturbed aquatic environment. To monitor the condition of the Nassau River estuary and to discern spatial and temporal trends in water quality, nutrients and hydrographic variables were assessed throughout the estuary from 1997 to 2011. Hydrographic (temperature, salinity, total suspended solids, and turbidity) and nutrient parameters (total phosphorus, ortho-PO4 3-, total nitrogen, NH4 +, total Kjeldahl nitrogen, and NO 3 -) were monitored bimonthly at 12 sites in the mesohaline and polyhaline zones of the river. Nonparametric Kendall's Tau was implemented to analyze long-term water quality patterns. Salinity was found to increase with time, particularly in the mesohaline sampling sites. Dissolved oxygen decreased over time in the estuary and hypoxic conditions became increasingly frequent in the final years of the study. Nutrients increased in the estuary, ranging from 149 to 401 %. Rainfall data collected in adjacent conservation areas did not correlate well with nutrients as compared with stream discharge data collected in the basin headwaters, outside of the conservation lands, attributed here to expanding urbanization. During the study period, the Nassau basin underwent rapid human population growth and land development resulting in commensurate impacts to water quality. Nutrient and physical data collected during this study indicate that the Nassau River estuary is becoming more eutrophic with time. ? 2013 Springer Science+Business Media Dordrecht.",https://doi.org/10.1007/s10661-013-3347-4,2013,Environmental Monitoring and Assessment,7,Eutrophication; Nutrients; Tidal river; Water quality,"Aquatic environments; Conservation areas; Conservation lands; Human population growth; Spatial and temporal trends; Tidal river; Total Kjeldahl nitrogens; Total suspended solids; Catchments; Estuaries; Eutrophication; River pollution; Rivers; Water quality; Nutrients; ammonia; dissolved oxygen; nitrate; nitrogen; phosphate; phosphorus; rain; estuary; eutrophication; land use change; nutrient enrichment; urbanization; water chemistry; water quality; article; coastal waters; hydrography; river basin; salinity; suspended particulate matter; trend study; turbidity; United States; water analysis; water temperature; Environmental Monitoring; Florida; Nitrogen; Phosphorus; Salinity; Urbanization; Water Pollutants, Chemical; Water Pollution, Chemical; Florida [United States]; Nassau River; Saint John River","Williams, A.A.; Kimball, M.E.",,,,,,
102,Trophic State Evolution and Nutrient Trapping Capacity in a Transboundary Subtropical Reservoir: A 25-Year Study,"Artificial reservoirs have been used for drinking water supply, other human activities, flood control and pollution abatement worldwide, providing overall benefits to downstream water quality. Most reservoirs in Brazil were built during the 1970s, but their long-term patterns of trophic status, water chemistry, and nutrient removal are still not very well characterized. We aimed to evaluate water quality time series (1985?2010) data from the riverine and lacustrine zones of the transboundary Itaipu Reservoir (Brazil/Paraguay). We examined total phosphorus and nitrogen, chlorophyll a concentrations, water transparency, and phytoplankton density to look for spatial and temporal trends and correlations with trophic state evolution and nutrient retention. There was significant temporal and spatial water quality variation (Pˇ<ˇ0.01, ANCOVA). The results indicated that the water quality and structure of the reservoir were mainly affected by one internal force (hydrodynamics) and one external force (upstream cascading reservoirs). Nutrient and chlorophyll a concentrations tended to be lower in the lacustrine zone and decreased over the 25-year timeframe. Reservoir operational features seemed to be limiting primary production and phytoplankton development, which exhibited a maximum density of 6050 ˇorg/mL. The relatively small nutrient concentrations in the riverine zone were probably related to the effect of the cascade reservoirs upstream of Itaipu and led to relatively low removal percentages. Our study suggested that water quality problems may be more pronounced immediately after the filling phase of the artificial reservoirs, associated with the initial decomposition of drowned vegetation at the very beginning of reservoir operation. ? 2015, Springer Science+Business Media New York.",https://doi.org/10.1007/s00267-015-0633-7,2016,Environmental Management,15,Long-term studies; Nutrient removal; Subtropical aquatic systems; Trophic status; Water resources management,Chlorophyll; Flood control; Nutrients; Phytoplankton; Pollution control; Potable water; Quality control; River pollution; Rivers; Water; Water pollution; Water pollution control; Water quality; Water resources; Water supply; Aquatic system; Long term study; Nutrient removal; Trophic status; Water resources management; Reservoirs (water); chlorophyll a; nitrogen; phosphorus; chlorophyll; concentration (composition); evolutionary biology; hydrodynamics; lacustrine environment; long-term change; nutrient availability; phytoplankton; population density; primary production; reservoir; river system; spatiotemporal analysis; subtropical region; time series analysis; transparency; trend analysis; trophic status; water chemistry; water management; water quality; Article; concentration (parameters); decomposition; force; nutrient concentration; trophic level; water supply; Brazil; eutrophication; human; Itaipu Reservoir; Paraguay; Parana [Brazil]; Eutrophication; Humans; Nitrogen; Phosphorus; Water Quality; Water Supply,"Cunha, D.G.F.; Benassi, S.F.; de Falco, P.B.; Calijuri, M.",,,,,,
103,Regional and Temporal Differences in Nitrate Trends Discerned from Long-Term Water Quality Monitoring Data,"Riverine nitrate (NO3) is a well-documented driver of eutrophication and hypoxia in coastal areas. The development of the elevated river NO3 concentration is linked to anthropogenic inputs from municipal, agricultural, and atmospheric sources. The intensity of these sources has varied regionally, through time, and in response to multiple causes such as economic drivers and policy responses. This study uses long-term water quality, land use, and other ancillary data to further describe the evolution of river NO3 concentrations at 22 monitoring stations in the United States (U.S.). The stations were selected for long-term data availability and to represent a range of climate and land-use conditions. We examined NO3 at the monitoring stations, using a flow-weighting scheme meant to account for interannual flow variability allowing greater focus on river chemical conditions. River NO3 concentration increased strongly during 1945-1980 at most of the stations and have remained elevated, but stopped increasing during 1981-2008. NO3 increased to a greater extent at monitoring stations in the Midwest U.S. and less so at those in the Eastern and Western U.S. We discuss 20th Century agricultural development in the U.S. and demonstrate that regional differences in NO3 concentration patterns were strongly related to an agricultural index developed using principal components analysis. This unique century-scale dataset adds to our understanding of long-term NO3 patterns in the U.S. ? 2015 American Water Resources Association.",https://doi.org/10.1111/1752-1688.12321,2015,Journal of the American Water Resources Association,44,Biogeochemistry; Land-use/land cover change; Monitoring; Nutrients; Rivers/streams; Time series analysis,Agriculture; Biogeochemistry; Eutrophication; Land use; Monitoring; Nitrates; Nutrients; River pollution; Rivers; Time series analysis; Water quality; Agricultural development; Anthropogenic inputs; Concentration patterns; Land use/land cover change; Principal components analysis; Regional differences; Rivers/streams; Water quality monitoring; Principal component analysis; anthropogenic effect; biogeochemistry; climate effect; concentration (composition); environmental monitoring; eutrophication; land use change; long-term change; nitrate; nutrient; spatiotemporal analysis; time series analysis; water quality; Midwest; United States,"Stets, E.G.; Kelly, V.J.; Crawford, C.G.",,,,,,
104,Environmental response of an irish estuary to changing land management practices,"Anthropogenic pressures have led to problems of nutrient over-enrichment and eutrophication in estuarine and coastal systems on a global scale. Recent improvements in farming practices, specifically a decrease in fertiliser application rates, have reduced nutrient loadings in Ireland. In line with national and European Directives, monitoring of Irish estuarine systems has been conducted for the last 30. years, allowing a comparison of the effectiveness of measures undertaken to improve water quality and chemical and biological trends. The Blackwater Estuary, which drains a large agricultural catchment on the south coast of Ireland, has experienced a decrease in calculated nitrogen (N) (17%) and phosphorus (P) (20%) loads in the last decade. Monitored long-term river inputs reflect the reductions while estuarine P concentrations, chlorophyll and dissolved oxygen saturation show concurrent improvement. Consistently high N concentrations suggest a decoupling between N loads and estuarine responses. This highlights the complex interaction between N and P load reductions, and biochemical processes relating to remineralisation and primary production which can alter the effectiveness of the estuarine filter in reducing nutrient transport to the coastal zone. Effective management and reduction of both diffuse and point nutrient sources to surface waters require a consideration of the processes which may alter the effectiveness of measures in estuarine and coastal waters. ? 2015.",https://doi.org/10.1016/j.scitotenv.2015.03.076,2015,Science of the Total Environment,26,Agricultural policy measures; Estuarine eutrophication; Mann-Kendall trend analysis; Nitrogen and phosphorus river loads; Nutrient source apportionment,"Agriculture; Catchments; Dissolved oxygen; Estuaries; Eutrophication; Nitrogen; Phosphorus; River pollution; Water quality; Agricultural policies; Anthropogenic pressures; Chemical and biologicals; Dissolved oxygen saturation; Land management practices; Mann-Kendall trends; Nitrogen and phosphorus; Nutrient sources; Nutrients; nitrogen; phosphorus; surface water; chlorophyll; water pollutant; agricultural policy; estuary; eutrophication; land management; nitrogen cycle; phosphorus cycle; trend analysis; water chemistry; agricultural management; Article; catchment; chlorophyll content; concentration (parameters); controlled study; environmental impact assessment; farming system; fertilizer application; Ireland; nonhuman; nutrient cycling; nutrient loading; oxygen saturation; pollution transport; priority journal; water quality; agriculture; analysis; environmental monitoring; environmental protection; Blackwater Estuary; England; Essex [England]; United Kingdom; Chlorophyll; Conservation of Natural Resources; Environmental Monitoring; Water Pollutants, Chemical","N° Longphuirt, S.; O'Boyle, S.; Stengel, D.B.",,,,,,
105,Global climate change in large European rivers: Long-term effects on macroinvertebrate communities and potential local confounding factors,"Aquatic species living in running waters are widely acknowledged to be vulnerable to climate-induced, thermal and hydrological fluctuations. Climate changes can interact with other environmental changes to determine structural and functional attributes of communities. Although such complex interactions are most likely to occur in a multiple-stressor context as frequently encountered in large rivers, they have received little attention in such ecosystems. In this study, we aimed at specifically addressing the issue of relative long-term effects of global and local changes on benthic macroinvertebrate communities in multistressed large rivers. We assessed effects of hydroclimatic vs. water quality factors on invertebrate community structure and composition over 30ˇyears (1979-2008) in the Middle Loire River, France. As observed in other large European rivers, water warming over the three decades (+0.9ˇ¯C between 1979-1988 and 1999-2008) and to a lesser extent discharge reduction (-80ˇm3ˇs-1) were significantly involved in the disappearance or decrease in taxa typical from fast running, cold waters (e.g. Chloroperlidae and Potamanthidae). They explained also a major part of the appearance and increase of taxa typical from slow flowing or standing waters and warmer temperatures, including invasive species (e.g. Corbicula sp. and Atyaephyra desmarestii). However, this shift towards a generalist and pollution tolerant assemblage was partially confounded by local improvement in water quality (i.e. phosphate input reduction by about two thirds and eutrophication limitation by almost one half), explaining a significant part of the settlement of new pollution-sensitive taxa (e.g. the caddisfly Brachycentridae and Philopotamidae families) during the last years of the study period. The regain in such taxa allowed maintaining a certain level of specialization in the invertebrate community despite climate change effects. ? 2012 Blackwell Publishing Ltd.",https://doi.org/10.1111/gcb.12124,2013,Global Change Biology,109,Benthos; Community structure; Global change; Invasive species; Large rivers; Long-term trends; Multiple stressors; Warming; Water quality,"benthos; climate change; discharge; environmental effect; environmental factor; environmental stress; eutrophication; global climate; invasive species; long-term change; macroinvertebrate; specialization; taxonomy; warming; water quality; animal; article; classification; epidemiology; Europe; greenhouse effect; growth, development and aging; invertebrate; physiology; river; Animals; Confounding Factors (Epidemiology); Global Warming; Invertebrates; Rivers; France; Loire River; Atyaephyra desmarestii; Brachycentridae; Chloroperlidae; Corbicula; Invertebrata; Philopotamidae; Potamanthidae; Trichoptera","Floury, M.; Usseglio-Polatera, P.; FerrÇol, M.; Delattre, C.; Souchon, Y.",,,,,,
106,Global versus local change effects on a large European river,"Water temperature and discharge are fundamental to lotic ecosystem function, and both are strongly affected by climate. In large river catchments, however, climatic effects might be difficult to discern from background variability and other cumulative sources of anthropogenic change arising from local land and water management. Here, we use trend analysis and generalised linear modelling on the Loire, the longest river in France to test the hypotheses that i) long-term trends in discharge and river temperature have arisen from climate change and ii) climatic effects on water quality have not been overridden by local effects.Over 32years (1977-2008), discharge in the Middle Loire fell by about 100m3/s while water temperature increased by 1.2¯C with greatest effects during the warm period (May-August). Although increasing air temperature explained 80% of variations in water temperature, basin-wide precipitation showed no long-term trend and accounted for only 18% of inter-annual fluctuations in flow. We suggest that trends in abstraction coupled with a potential increase in evapo-transpiration at the catchment scale could be responsible for the majority of the long-term discharge trend.Discharge and water temperature explained only 20% of long-term variations in major water quality variables (conductivity, dissolved oxygen, pH, suspended matter, biochemical oxygen demand, nitrate, phosphate and chlorophyll-a), with phosphate and chlorophyll declining contrary to expectations from global change probably as a consequence of improved wastewater treatment.These data partially support our first hypothesis in revealing how warming in the Loire has been consistent with recent atmospheric warming. However, local management has had larger effects on discharge and water quality in ways that could respectively exacerbate (abstraction) or ameliorate (reduced point-source pollution) warming effects. As one of the first case-studies of its kind, this multi-parametric study illustrates the potential for complex interactions between climate change and other environmental factors in large rivers. ? 2012 Elsevier B.V.",https://doi.org/10.1016/j.scitotenv.2012.09.051,2012,Science of the Total Environment,41,Eutrophication; Hydrology; Loire; Temperature; Trend analysis; Water quality,Air temperature; Anthropogenic changes; Atmospheric warming; Case-studies; Catchment scale; Chlorophyll a; Climatic effects; Complex interaction; Environmental factors; Global change; Interannual; Land and water management; Large rivers; Local management; Loire; Long-term trend; Long-term variations; Lotic ecosystems; River temperature; Suspended matters; Trend analysis; Water temperatures; Abstracting; Biochemical oxygen demand; Catchments; Chlorophyll; Climate change; Eutrophication; Hydrology; Rivers; Runoff; Temperature; Water management; Water quality; River pollution; chlorophyll a; dissolved oxygen; nitrate; phosphate; river water; climate change; ecosystem function; environmental factor; eutrophication; hydrology; river discharge; trend analysis; water quality; water temperature; air temperature; article; biochemical oxygen demand; catchment; conductance; controlled study; Europe; evaporation; France; pH; precipitation; priority journal; river; statistical analysis; suspended particulate matter; waste water management; water analysis; water flow; Rhone-Alpes,"Floury, M.; Delattre, C.; Ormerod, S.J.; Souchon, Y.",,,,,,
